metric,method,unit,GEN,REF,REF_minus_GEN,GEN_reduction_pct_vs_REF
Global warming impact,conventional_static,kg CO2e,18556388.52941353,33267681.50518282,14711292.975769293,44.22097456198563
Global warming impact,time_explicit_static,kg CO2e,6239948.673002476,8611516.779424174,2371568.106421698,27.53949353136228
Global warming impact,dynamic_climate,kg CO2e,6353957.052160242,11031284.955690589,4677327.903530347,42.4005718492251
Radiative forcing,dynamic_climate,W*yr/m^2,5.627304587992958e-07,9.769723014024835e-07,4.142418426031877e-07,42.40057184922507
