case,stage,dynamic_GWP100_case_total,share_pct,unit
GEN,A,3671742.5352382376,57.786706852069536,kg CO2e
GEN,B,2759427.750449855,43.42849232057202,kg CO2e
GEN,C,-77213.2826123176,-1.21519994514389,kg CO2e
REF,A,245361.74867887268,2.22423543281148,kg CO2e
REF,B,10786289.826478984,97.77908801925001,kg CO2e
REF,C,-366.6662833591865,-0.00332387645529942,kg CO2e
