method,GEN_median,GEN_p5,GEN_p95,REF_median,REF_p5,REF_p95,diff_median,diff_p5,diff_p95,P_GEN_lt_REF,n_draws
static,18535562.780495107,16242178.988721993,20980794.589414515,33210063.069546215,29094865.856666427,37586737.616807975,14649079.173969232,11280455.242137218,18207613.913270004,1.0,10000
time_explicit,6232945.776066004,5461750.588355138,7055202.831618938,8593949.947929531,7504704.157482746,9774539.760053435,2361278.714054645,1437961.1197620868,3341469.570652263,1.0,10000
dynamic,6346825.8225275595,5561540.388091833,7184106.058941343,11013245.948140632,9625896.412259106,12489938.16490862,4661664.1457269285,3520416.87857754,5884833.01453983,1.0,10000
