quantity,current_75_25,corrected_70_30,delta,pct_change
Natural gas (m3/FU),1906485.0528469519,1840537.712259282,-65947.34058766998,-3.459106091033386
Fuel oil (kg/FU),300961.3917706159,361153.6701247392,60192.27835412329,20.00000000000004
Direct CO2 (kg/FU),4593558.8950725645,4658235.223335113,64676.328262548894,1.4079786444433342
Direct CH4 total (kg/FU),29593.52210714802,28570.353191284525,-1023.1689158634945,-3.4574083887647773
Leakage CH4 (kg/FU),29518.97216357705,28497.879599456308,-1021.0925641207432,-3.459106091033385
Direct N2O (kg/FU),9.382471494552426,9.560331747768396,0.17786025321596988,1.8956652660147983
